,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,rss,pkg_pwr,ram_pwr,power
320,0,0,0,0,0,0,0,0,0,32857,172.55,16.75,253.7
321,4552,244470,5286,42616,88,45056,9144253580,20229052148,9143268844,32857,171.03,16.82,253.7
322,0,0,0,0,0,0,0,0,0,32857,171.98,16.71,253.7
323,0,0,0,0,0,0,0,0,0,32857,171.83,16.71,253.7
324,0,0,0,0,0,0,0,0,0,32857,171.38,16.79,253.7
325,0,0,0,0,0,0,0,0,0,32857,171.27,16.71,253.8
326,4442,269140,12070,57304,96,49152,8773847628,19637036190,8770164344,32857,173.24,16.86,253.7
327,0,0,0,0,0,0,0,0,0,32857,171.08,16.71,253.6
328,0,0,0,0,0,0,0,0,0,32857,172.12,16.76,253.7
329,0,0,0,0,0,0,0,0,0,32857,172.64,16.8,253.8
330,0,0,0,0,0,0,0,0,0,32857,171.34,16.61,253.7
331,0,0,0,0,0,0,0,0,0,32857,172.04,16.82,253.8
332,21430244,216487982,12493402,50688546,0,0,50388108306,16300486398,51645044738,32857,172.84,16.88,253.8
333,0,0,0,0,0,0,0,0,0,32857,170.69,16.68,253.8
334,0,0,0,0,0,0,0,0,0,32857,171.92,16.87,253.9
335,0,0,0,0,0,0,0,0,0,32857,172.25,16.69,253.8
336,0,0,0,0,0,0,0,0,0,32857,171.52,16.76,253.8
337,12186,47596,17460,22884,0,0,10490368432,27373311938,10492072682,32857,171.5,16.84,253.9
338,0,0,0,0,0,0,0,0,0,32857,172.8,16.77,253.8
339,0,0,0,0,0,0,0,0,0,32857,171.0,16.77,253.9
340,0,0,0,0,0,0,0,0,0,32857,171.6,16.84,253.9
341,9404,40298,14568,20658,0,0,10147520798,27107629770,10149302394,32857,173.19,16.86,253.9
342,0,0,0,0,0,0,0,0,0,32857,171.13,16.88,253.8
343,0,0,0,0,0,0,0,0,0,32857,171.11,16.75,253.9
344,0,0,0,0,0,0,0,0,0,32857,172.92,16.91,263.6
345,0,0,0,0,0,0,0,0,0,32857,170.94,16.81,246.9
346,7178,268982,9828,58002,0,0,8954967384,20020558696,8949553326,32857,171.7,16.81,253.6
347,0,0,0,0,0,0,0,0,0,32857,173.2,16.92,264.0
348,0,0,0,0,0,0,0,0,0,32857,171.06,16.79,245.6
349,0,0,0,0,0,0,0,0,0,32857,171.71,16.79,255.4
350,0,0,0,0,0,0,0,0,0,32857,172.71,16.94,255.2
351,4922,242312,7088,39496,0,0,9089105318,20498717416,9094421488,32857,171.34,16.8,255.0
352,0,0,0,0,0,0,0,0,0,32857,171.88,16.79,254.9
353,0,0,0,0,0,0,0,0,0,32857,172.45,16.92,254.9
354,0,0,0,0,0,0,0,0,0,32857,171.64,16.75,260.4
355,0,0,0,0,0,0,0,0,0,32857,171.16,16.86,250.2
356,5566,246530,7258,38510,0,0,8689928134,19245519578,8684130214,32857,172.75,16.99,262.8
357,0,0,0,0,0,0,0,0,0,32857,171.54,16.85,247.8
358,0,0,0,0,0,0,0,0,0,32857,170.96,16.85,253.6
359,0,0,0,0,0,0,0,0,0,32857,173.11,16.92,264.3
360,0,0,0,0,0,0,0,0,0,32857,171.23,16.88,247.7
361,3360,199500,4892,33870,0,0,7050870070,15278637310,7054156032,32857,171.57,16.8,254.0
362,0,0,0,0,0,0,0,0,0,32857,172.12,16.95,264.3
363,0,0,0,0,0,0,0,0,0,32857,171.48,16.88,246.4
364,0,0,0,0,0,0,0,0,0,32857,171.34,16.79,254.0
365,0,0,0,0,0,0,0,0,0,32857,148.05,15.84,254.1
366,6998,293500,13236,47274,0,0,8699347680,19261251488,8714475724,32857,120.04,14.74,253.9
367,0,0,0,0,0,0,0,0,0,32857,126.66,14.97,254.0
368,0,0,0,0,0,0,0,0,0,32857,127.42,14.94,201.4
369,0,0,0,0,0,0,0,0,0,32857,116.93,14.24,193.9
370,0,0,0,0,0,0,0,0,0,32857,130.77,14.91,194.5
371,5248,236442,6414,37856,0,0,8875404900,19585004844,8878403776,32857,121.58,14.8,194.6
372,0,0,0,0,0,0,0,0,0,32857,131.96,15.4,189.3
373,0,0,0,0,0,0,0,0,0,32857,125.56,14.91,201.8
374,0,0,0,0,0,0,0,0,0,32857,121.25,14.66,195.5
375,0,0,0,0,0,0,0,0,0,32857,149.38,15.86,205.1
376,4858,250240,4920,38764,0,0,8784438080,19321882606,8783844366,32857,172.02,16.82,192.6
377,0,0,0,0,0,0,0,0,0,32857,171.98,16.83,192.8
378,0,0,0,0,0,0,0,0,0,32857,173.07,16.78,254.3
379,0,0,0,0,0,0,0,0,0,32857,171.54,16.94,248.5
380,0,0,0,0,0,0,0,0,0,32857,171.66,16.84,254.1
381,7470,318322,12650,61086,0,0,8566301308,18930545356,8569103900,32857,172.83,16.82,263.1
382,0,0,0,0,0,0,0,0,0,32857,170.72,16.82,248.3
383,0,0,0,0,0,0,0,0,0,32857,170.91,16.8,254.1
384,0,0,0,0,0,0,0,0,0,32857,172.6,16.88,263.2
385,0,0,0,0,0,0,0,0,0,32857,170.52,16.76,246.4
386,5948,246830,7908,53332,0,0,9104426280,20018014988,9117056738,32857,171.61,16.9,253.6
387,0,0,0,0,0,0,0,0,0,32857,172.56,16.89,253.7
388,0,0,0,0,0,0,0,0,0,32857,171.14,16.74,253.5
389,0,0,0,0,0,0,0,0,0,32857,171.09,16.81,253.6
390,0,0,0,0,0,0,0,0,0,32857,172.93,16.82,253.8
391,6410,227586,4854,37722,0,0,8881141772,19263726246,8882532134,32857,170.94,16.81,253.7
392,0,0,0,0,0,0,0,0,0,32857,172.16,16.8,261.8
393,0,0,0,0,0,0,0,0,0,32857,171.48,16.77,261.2
394,0,0,0,0,0,0,0,0,0,32857,171.77,16.9,247.2
395,6154,257272,6858,41056,0,0,8892433644,19714004370,8891372310,32857,170.79,16.81,254.1
396,0,0,0,0,0,0,0,0,0,32857,173.1,16.97,254.0
397,0,0,0,0,0,0,0,0,0,32857,171.48,16.82,254.0
398,0,0,0,0,0,0,0,0,0,32857,171.74,16.65,253.9
399,0,0,0,0,0,0,0,0,0,32857,172.72,16.76,254.2
400,5178,257766,6640,38590,0,0,8813576794,19751639068,8827264000,32857,171.82,16.84,254.0
401,0,0,0,0,0,0,0,0,0,32857,171.07,16.71,254.0
402,0,0,0,0,0,0,0,0,0,32857,172.88,16.83,254.2
403,0,0,0,0,0,0,0,0,0,32857,171.07,16.84,254.0
404,0,0,0,0,0,0,0,0,0,32857,171.61,16.68,254.0
405,12180,57694,13350,22368,0,0,10166214536,26537135302,10167747524,32857,172.58,16.93,254.2
406,0,0,0,0,0,0,0,0,0,32857,171.47,16.71,253.9
407,0,0,0,0,0,0,0,0,0,32857,171.83,16.76,254.0
408,0,0,0,0,0,0,0,0,0,32857,172.62,16.91,254.1
409,0,0,0,0,0,0,0,0,0,32857,171.4,16.79,254.0
410,10804,45718,12890,17682,0,0,8146890184,21583409652,8148170282,32857,171.37,16.85,254.0
411,157626,528196,9908,0,0,0,26448828,31030204,26449356,32857,172.35,16.93,254.2
412,0,0,0,0,0,0,0,0,0,32857,171.88,16.73,254.0
413,0,0,0,0,0,0,0,0,0,32857,171.67,16.83,254.0
414,0,0,0,0,0,0,0,0,0,32857,172.46,16.89,254.1
415,13902,58426,17712,23340,0,0,10176426832,26468094570,10178095704,32857,171.83,16.85,254.1
416,0,0,0,0,0,0,0,0,0,32857,171.51,16.86,254.0
417,0,0,0,0,0,0,0,0,0,32857,172.49,16.81,263.7
418,0,0,0,0,0,0,0,0,0,32857,171.98,16.85,247.5
419,0,0,0,0,0,0,0,0,0,32857,170.94,16.77,253.6
420,0,0,0,0,0,0,0,0,0,32857,172.83,16.89,253.7
421,12172,57504,15940,23308,0,0,10175012142,26764028166,10176483696,32857,172.27,16.88,253.7
422,0,0,0,0,0,0,0,0,0,32857,171.76,16.69,253.6
423,0,0,0,0,0,0,0,0,0,32857,172.87,16.9,253.9
424,0,0,0,0,0,0,0,0,0,32857,172.05,16.8,253.9
425,0,0,0,0,0,0,0,0,0,32857,171.58,16.85,253.8
426,9650,40542,10384,16672,0,0,8044322862,20918452426,8045137348,32857,172.51,17.06,254.0
427,0,0,0,0,0,0,0,0,0,32857,172.3,16.87,254.0
428,0,0,0,0,0,0,0,0,0,32857,171.33,16.81,253.9
429,0,0,0,0,0,0,0,0,0,32857,172.05,16.81,263.1
430,0,0,0,0,0,0,0,0,0,32857,172.5,16.8,248.5
431,7628,42724,9444,15452,0,0,8023838472,20789925224,8024980946,32857,171.57,16.92,249.1
432,0,0,0,0,0,0,0,0,0,32857,171.91,16.87,249.7
433,0,0,0,0,0,0,0,0,0,32857,172.91,16.94,250.3
