,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
115,1312,827483,90,54588,0,0,146827769,129089524,39.46,4.92,156548023,126.9
116,2370,700326,142,43728,0,0,123841060,111050525,39.58,4.91,147168490,126.9
117,80524,1347046,6327,88150,328,167936,204600692,256254263,39.89,5.2,280932619,126.8
118,10346,992628,299,40314,0,0,130952533,146455350,39.63,5.1,173642087,126.7
119,6492,804542,92,25488,0,0,140236858,130016194,39.28,5.0,145492417,126.7
120,1858,783351,160,35378,0,0,87835467,102062092,39.76,4.92,148853389,126.7
121,1290,1001499,543,55298,0,0,150485416,148754368,39.94,4.98,169592697,126.8
122,89486,1147966,3778,84238,328,167936,178974383,175113703,39.87,5.14,192442305,127.0
123,24206,569527,654,48145,0,0,142556133,122829230,39.7,5.05,151631614,127.1
124,7354,985378,409,57401,40000,20480000,175460659,168668676,39.76,4.99,205247302,127.2
125,3941,857538,227,44964,0,0,121944228,128981200,39.98,5.04,150800714,127.2
126,4225,771575,1162,37254,0,0,107466296,98787540,40.28,4.96,144341815,127.4
127,168141,1422038,6576,81268,832,425984,198943876,248080220,40.32,5.34,248673966,127.4
128,48858,1315405,1212,63427,0,0,193633617,174253379,40.34,5.16,223353432,127.5
129,3718,783948,179,51959,0,0,117367537,106719192,40.34,5.02,156066518,127.6
130,1177,707126,197,23401,0,0,126263992,106486195,40.3,4.96,132633514,127.5
131,1375,936259,370,50352,0,0,151561603,133113213,40.27,4.95,174686806,127.4
132,73024,1289106,727,33675,272,139264,180010656,205789190,40.26,5.15,215409291,127.4
133,14945,868008,1541,38384,0,0,144518472,127622940,40.22,5.08,153462873,127.2
134,6781,927236,248,62929,0,0,144923525,128159286,40.27,5.0,175812475,127.2
135,1417,702002,63,35351,0,0,92931614,108024336,40.26,4.99,156181436,127.1
136,3006,759649,48,36544,0,0,148776982,132032103,40.15,4.92,156066762,127.1
137,77617,1358816,8288,59723,328,167936,190231510,224983996,40.21,5.18,231825297,127.1
138,18996,1096841,856,40740,0,0,189006103,173432491,40.14,5.12,233927847,127.1
139,3955,823109,119,33863,0,0,130011036,109086092,40.26,5.0,147629379,127.1
140,1870,835169,81,36556,0,0,66809729,103385471,40.58,4.95,163976965,127.3
141,1483,685877,73,52105,0,0,136386990,125577771,40.61,4.94,141609480,127.4
142,59065,1546125,4047,78383,272,139264,162162802,185545364,40.26,5.16,235823217,127.5
143,16765,995784,741,54401,0,0,173655528,153429371,40.39,5.12,181044252,127.5
144,10489,745372,226,40280,0,0,138300844,118325807,40.6,4.99,142957254,127.4
145,1483,802491,335,61700,0,0,133135148,148675245,40.58,4.96,169502301,127.4
146,1792,840879,352,59998,0,0,145273546,120275560,39.42,4.95,170784989,127.5
147,84880,1207463,8003,104419,328,167936,208162544,205758918,39.72,5.18,253554066,127.6
148,15424,722244,1164,63894,0,0,174555474,166590203,40.56,5.17,200031286,127.5
149,41717,1168263,1670,49375,0,0,153032296,171296350,40.54,5.7,225535428,127.6
150,3675,1054329,95,59044,0,0,174461058,159773870,39.4,5.09,227341716,127.6
151,1767,853738,125,42539,0,0,92019492,94707357,39.2,4.93,162822349,127.8
152,99688,1258960,6077,53086,272,139264,190545465,203718288,39.51,5.15,219953079,127.8
153,39368,748818,630,51758,0,0,168899464,139086961,40.12,5.16,171603320,127.8
154,11459,1120087,191,57598,0,0,118646966,135076286,40.15,5.0,192232531,127.8
155,4119,696492,133,27578,40104,20533248,94333327,109916242,39.27,4.98,132466125,127.8
156,4055,733192,155,41034,0,0,130205375,116705629,39.21,4.92,142976343,127.9
157,43803,1010370,4830,70325,888,454656,172583072,160576633,39.56,5.19,184996142,127.9
158,41668,1457745,3194,68120,0,0,208466631,221059350,40.05,5.11,288031824,127.9
159,1993,821122,101,44100,0,0,114120061,117407065,40.09,5.0,156907176,127.9
160,1767,700185,30,31690,56,28672,108452508,106078124,39.4,4.96,145775361,127.9
161,2000,944669,45,33156,0,0,102919113,127150006,39.71,4.92,180318353,128.0
162,119266,1389531,6449,91098,272,139264,214211149,221796251,40.2,5.27,236605196,128.0
163,14583,841374,812,37695,0,0,127719186,132572077,40.13,5.14,175306670,128.0
164,8395,848176,102,56020,0,0,124773866,115355806,39.45,5.02,165364748,128.0
165,1600,981405,635,47319,0,0,136348735,122656269,39.93,4.95,175261152,127.9
166,1025,833058,191,22257,0,0,142465149,133046618,40.6,4.92,151738953,128.1
167,79491,1249029,185,92133,272,139264,198798714,218433655,40.43,5.17,234323061,128.2
168,17485,1166286,604,23488,0,0,155780721,143657676,39.36,5.08,192315507,128.1
169,1613,689288,163,53163,0,0,142009074,126793316,39.97,4.98,157823337,128.1
170,1218,717448,130,37733,0,0,131956645,118343811,40.59,4.94,141360287,128.0
171,10939,936080,54,22277,0,0,123532514,146296789,40.54,4.96,190235576,128.1
172,77957,1412603,4897,58579,328,167936,219070527,239757472,39.97,5.15,244904579,128.0
173,9722,903384,328,41342,0,0,147183319,133226618,39.93,5.13,155898038,128.0
174,6258,760234,119,39541,0,0,121845326,114396519,40.42,5.0,147330554,128.0
175,1530,923355,66,36425,0,0,133661269,134252346,40.61,4.97,182968706,127.9
176,3160,765142,295,29564,0,0,133961976,115089083,40.04,4.93,143517474,128.0
177,66036,1494868,7754,53665,272,139264,173957803,200395970,39.48,5.2,237650083,128.0
178,22489,944795,426,46588,0,0,131157751,136667564,40.43,5.07,170405366,127.9
179,4484,1050414,614,55906,0,0,189799747,179610950,40.64,5.04,214909425,127.9
180,1879,673731,159,42324,0,0,116830136,108450986,39.87,4.92,155674881,128.0
181,8915,827908,313,51207,0,0,117763496,137007893,39.4,5.0,172689738,128.0
182,65687,1305735,8524,91731,328,167936,218960203,213470132,39.41,5.19,277104538,128.0
183,9771,915652,424,53456,0,0,149360049,135642664,40.57,5.06,157557949,128.0
184,5042,617244,8,46542,0,0,131743453,114545135,40.63,5.01,148274703,128.1
185,2020,856706,46,34551,39816,20385792,124493390,130704545,40.26,4.96,174188351,128.1
186,41359,995521,192,46645,0,0,59490025,132026726,40.11,5.04,183775350,128.3
187,188156,1740680,10576,53696,384,196608,239452223,282224004,40.07,5.33,301935576,128.3
188,36539,818602,104,35272,0,0,106869468,95963788,40.08,5.17,166750857,128.3
