,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
519,589710,3644603,230667,300897,0,0,922477286,1148935486,40.16,6.8,936664245,130.8
520,1040914,5162200,159218,341205,496,253952,1856679828,2461168968,39.98,6.44,1915963341,130.8
521,146534,2707033,15426,162859,0,0,1561357253,1995337319,39.91,6.4,1583537572,131.0
522,1824443,6500834,217065,537402,0,0,1384001426,1906442862,40.06,6.75,1419537545,131.0
523,161669,2754346,15128,133363,0,0,1653565928,2137067758,39.93,6.41,1694484772,131.1
524,393681,3377174,101020,208006,0,0,1186072434,1548941378,40.05,6.68,1290320000,131.1
525,1216634,5563097,200094,426773,552,282624,1548116551,1989413822,39.89,6.49,1613904836,131.1
526,113609,2249600,14588,105259,0,0,1230112510,1570335395,39.98,6.42,1277780160,131.2
527,100998,2036555,9530,98466,0,0,1012053130,1300746789,39.77,5.9,1066789008,131.2
528,1282711,5346541,234871,608453,0,0,1273204739,1723419027,39.98,6.57,1374723337,131.0
529,164248,2716013,18558,151774,0,0,1675599266,2129657007,39.98,6.44,1685893908,131.1
530,809810,4510964,227322,581007,41160,21073920,1250901198,1579625767,40.01,6.64,1330528023,131.0
531,700462,4352136,229616,285015,0,0,1362263719,1752792529,39.96,6.4,1425082228,131.0
532,125959,2712555,14425,158231,0,0,1624419074,2128377697,39.92,6.26,1672562181,131.2
533,1203765,5272549,359455,433945,0,0,1078136245,1355629170,40.07,6.86,1109107468,131.1
534,315792,3441588,19972,169124,0,0,1810852175,2384179619,39.95,6.44,1864503973,131.2
535,222976,3075546,21484,143589,1056,540672,1422048220,1808286966,39.57,5.69,1449566422,131.2
536,795462,4036946,261367,518041,0,0,624198515,772325964,40.03,6.59,672316546,131.2
537,626367,3540189,75262,386488,0,0,1438705325,1882470341,39.93,6.37,1472533584,130.9
538,130972,2685291,14110,136579,0,0,1667480952,2134590682,39.89,6.34,1714502574,131.1
539,1391086,5486406,506433,593402,0,0,1187343215,1620560664,40.06,6.81,1240515782,131.0
540,331638,3366551,23897,157135,328,167936,1714511077,2201611216,39.9,6.46,1776840372,131.2
541,446364,3534890,41845,285043,56,28672,1462567709,1883134855,40.13,6.79,1580193584,131.2
542,1064635,5002436,275225,525425,0,0,1476959798,1885409482,39.93,6.43,1490999217,131.1
543,133938,2797333,15966,156792,0,0,1707726915,2147001116,39.93,6.24,1732361070,131.3
544,932565,4998426,185313,382016,0,0,1148954789,1455685060,40.16,6.91,1162557748,131.2
545,760978,4322955,33117,196467,384,196608,1871104792,2396330782,39.94,6.42,1933975105,131.3
546,143492,2787489,13368,243283,0,0,1514473777,1962640183,40.06,6.66,1641115541,131.3
547,1379900,6273200,172813,356597,0,0,1308506651,1742938751,40.08,6.58,1364905471,131.3
548,167292,2770686,12657,145722,0,0,1601681247,2122813957,39.92,6.41,1713866664,131.4
549,127114,2032566,8376,91876,0,0,989955834,1316928346,39.91,6.28,1057257072,131.3
550,1576587,6783032,371443,533840,328,167936,1421428267,1820543026,40.0,6.57,1462000126,131.2
551,158241,2985045,22216,176700,0,0,1664660411,2121976131,39.91,6.38,1710881026,131.4
552,132311,1965146,11038,132735,0,0,1093841478,1350991211,39.95,6.49,1150694001,131.3
553,1467789,6249755,288968,510624,0,0,1500455665,1939031999,39.89,6.52,1515938205,131.2
554,138688,2760096,14794,186997,0,0,1689175747,2141538981,39.96,6.49,1706500684,131.3
555,1314653,6601253,317140,361028,384,196608,1532435630,2089398169,40.07,6.78,1659348139,131.2
556,341221,2780545,82789,150897,0,0,1397697641,1751489943,39.9,6.44,1433591417,131.3
557,137128,2519258,17785,146487,0,0,1569774171,2069057318,39.88,6.33,1688183099,131.3
558,1333402,5667208,220506,560366,0,0,1151048849,1497887601,40.05,6.74,1186134408,131.3
559,175644,2727837,17392,156200,0,0,1656207691,2163837918,39.89,6.43,1708504596,131.4
560,318373,3015234,20196,155400,328,167936,1553394714,1981580818,39.66,5.68,1631182904,131.3
561,502066,1767936,124083,93164,42984,22007808,241497458,343747436,40.18,6.78,346238207,131.3
562,1683366,6897505,344151,503173,0,0,1931322941,2681163944,39.97,6.4,1981311467,131.0
563,100059,1939677,10100,123076,0,0,1282387617,1652482609,39.88,6.28,1312577280,131.3
564,80949,1928950,7270,115741,0,0,946478894,1204220017,40.02,6.47,979971112,131.2
565,1588537,6859111,426159,881743,1056,540672,1843563014,2466807370,39.92,6.43,2005745312,131.0
566,127317,2190531,11813,107311,0,0,1224995600,1606331092,39.82,6.38,1299378580,131.2
567,936266,4931171,295226,458780,0,0,1507961698,2035447405,40.07,6.8,1563251901,131.2
568,688430,4665742,214757,265636,0,0,1814024282,2397228400,39.87,6.42,1896883292,131.2
569,134443,2497169,14186,159243,0,0,1616889475,2104727212,39.88,6.35,1659065324,131.3
570,1476523,6373389,291023,541359,328,167936,982056920,1363019749,40.12,6.8,1110828370,131.2
571,197448,2752514,19939,144166,112,57344,1645544457,2084834077,39.94,6.42,1651048727,131.3
572,142106,2690841,16763,135768,0,0,1516191265,2030565784,40.11,6.72,1595771508,131.3
573,1357025,6056121,445881,607294,0,0,1261991430,1617108199,40.03,6.51,1324616986,131.3
574,188444,3160647,19673,169044,0,0,1852121784,2475548406,39.28,6.63,1905624851,131.4
575,1625802,6756885,533371,865480,1168,598016,1915700796,2504598509,40.37,7.02,1983561155,131.4
576,242843,3594948,21940,176898,0,0,2116488579,2849632590,38.72,6.46,2199898544,131.4
577,1238746,5754456,343297,521964,0,0,1466542924,1854293835,39.62,7.06,1535637942,131.4
578,567534,4236707,177796,355586,0,0,2071774723,2793061591,39.92,6.61,2183917234,131.0
579,222602,2864638,13648,148340,0,0,1410815515,1781533643,40.04,6.52,1468691216,131.1
580,1683897,6905382,388246,640411,608,311296,1345294481,1842655312,39.99,6.66,1490452043,131.2
581,172337,2525763,12913,176463,0,0,1592427700,2049640836,39.85,6.4,1633842046,131.3
582,216084,3018908,19897,145802,0,0,1308797122,1665271963,39.96,6.73,1378845774,131.3
583,1502904,6473708,331113,529652,0,0,1483156614,1956759588,39.85,6.56,1517855306,131.3
584,184776,3011787,17643,184501,0,0,1647166348,2107624825,39.84,6.47,1707209878,131.4
585,235104,2532417,14376,139202,720,368640,1148666593,1453254544,39.45,5.48,1189685578,131.4
586,273269,1769100,80096,178471,0,0,247859285,318226045,39.95,6.45,333767000,131.3
587,1225635,5641203,334358,455663,0,0,1489788411,1966316618,39.92,6.44,1521394068,130.9
588,143455,2619658,16616,158280,0,0,1625223596,2083543110,39.86,6.34,1631674326,131.2
589,469421,2873356,58601,141061,0,0,1039824301,1440907398,40.1,6.74,1118539528,131.1
590,1618989,6268893,412928,549852,328,167936,1613728093,2215046643,39.88,6.44,1688319065,131.0
591,146518,2715834,16681,179225,0,0,1655069309,2134956955,39.8,6.4,1712622558,131.3
592,223042,2411698,17888,129204,43464,22253568,1158724261,1514970226,40.02,6.57,1256521163,131.2
593,1435883,6497490,359453,656533,0,0,1487903626,1980015091,39.93,6.43,1551393210,131.1
594,127000,2432045,14864,146832,0,0,1581785282,2053780601,39.99,6.48,1643383628,131.3
595,240102,2792351,18274,176388,1280,655360,1237807919,1559634514,39.47,5.42,1305322076,131.2
596,218399,1590354,20108,120082,0,0,234665191,291151965,40.11,6.77,307121303,131.2
597,1578817,6337589,426592,673822,0,0,1919793464,2598793234,39.86,6.41,2019080161,130.9
598,113495,2012179,8692,108215,0,0,1265940689,1604345331,39.92,6.42,1277727406,131.1
599,517981,3496602,31285,197669,0,0,1303436102,1670581799,40.13,6.8,1377644719,131.1
600,1491520,6761098,299382,594972,328,167936,1895206679,2505526904,39.91,6.43,1995647849,131.1
601,118879,2032365,14211,133400,0,0,1285281805,1663076213,39.82,6.38,1292415161,131.3
602,891698,4691081,243327,334823,56,28672,1569000938,1991742859,40.02,6.79,1591930665,131.3
603,807202,4716686,54364,478418,0,0,1802656914,2276552113,39.91,6.38,1852813677,131.2
604,105431,2022117,9431,112276,0,0,1232624396,1582160695,39.9,6.39,1273591822,131.3
605,785861,4484173,218997,324431,328,167936,1224510093,1605033202,40.14,6.82,1311033893,131.2
606,1041542,5550973,295433,542598,0,0,1750754873,2364327711,40.0,6.4,1866284084,131.2
607,133839,2692460,15217,141211,56,28672,1634297969,2119861296,39.86,6.29,1668424322,131.4
608,782974,3678596,149585,341335,0,0,903610398,1145462382,40.13,6.88,924626863,131.3
609,916129,4983381,220502,540078,0,0,1824787057,2398059212,39.88,6.46,1856195723,131.3
610,246799,2977263,26057,186050,496,253952,1622084654,2079459591,39.82,6.28,1681467911,131.3
611,301139,2216048,20114,133266,0,0,822818696,1057064404,40.06,6.75,869302383,131.3
612,1380536,6877862,427329,541951,0,0,2002731451,2645154749,39.82,6.37,2047211503,131.3
613,155631,2427807,19149,153940,0,0,1665607867,2150801667,39.87,6.27,1707674346,131.4
614,791615,4127265,54015,249062,0,0,1142703192,1461010153,40.14,6.94,1150635745,131.3
615,990323,5005309,302213,511372,496,253952,1550096812,2016268232,39.86,6.4,1583832879,131.3
616,145817,2761780,15245,182343,0,0,1619310116,2101691145,39.79,6.31,1672662405,131.4
617,1166955,5695275,300654,416869,0,0,1497205904,1939715362,40.12,6.92,1574195837,131.3
618,641316,3275150,52385,227088,0,0,1362281631,1790958871,39.84,6.38,1404280321,131.4
619,130220,2682819,12070,126120,0,0,1624237403,2127266184,39.84,6.32,1685130387,131.4
620,1194720,6231957,279201,418069,328,167936,1540040864,2037674832,40.09,6.9,1589969141,131.3
621,605200,4330261,104980,237692,0,0,1693495897,2193947858,39.85,6.36,1783006555,131.4
622,88490,1822700,10481,131544,0,0,1207365176,1582343011,39.79,6.14,1223883254,131.4
623,1019796,5343293,348504,523689,42424,21721088,1377159430,1806920542,40.15,6.93,1461858575,131.3
624,788815,4344744,160740,339147,0,0,1751391076,2310864185,39.91,6.49,1819340536,131.3
625,255563,3012291,28096,149332,1000,512000,1634400967,2119573286,39.79,6.27,1682309058,131.4
626,246404,1878633,20297,109083,0,0,663482642,875075449,40.16,6.91,705111184,131.4
627,2073909,7502164,502009,535379,0,0,2136636201,3071178227,39.89,6.38,2229831096,131.3
628,103778,1994210,11605,97010,0,0,1192279750,1544270337,39.89,6.39,1226531172,131.5
629,251326,2761012,29997,179691,0,0,1402412308,1782849674,40.05,6.78,1443777239,131.4
630,1439458,6359418,452431,640814,328,167936,1592511520,2069334916,39.9,6.46,1633086347,131.3
631,163588,2805130,18661,158145,0,0,1649604680,2128746544,39.88,6.35,1705147487,131.5
632,211268,2897422,16238,117824,0,0,1327780648,1781243602,40.09,6.74,1390766835,131.4
633,1519924,5917068,556126,603584,56,28672,1494781143,2002201350,39.84,6.42,1523210169,131.4
634,132880,2452865,10228,121937,0,0,1587135114,2022848929,39.89,6.42,1605538431,131.5
635,245756,2882130,19205,165979,328,167936,1506826925,1938087978,39.53,5.5,1538610167,131.4
636,269093,1821643,65397,146469,0,0,209254034,262605874,40.1,6.82,324951544,131.4
637,1538676,6949499,395768,570245,0,0,1845535570,2510685647,39.92,6.39,1968106427,131.1
638,146366,2732357,13065,145741,0,0,1718758999,2204541955,39.94,6.35,1758838896,131.3
639,671093,3134858,90711,237797,0,0,1069521017,1412877468,40.21,6.95,1153661657,131.2
640,1396725,6905710,352703,588005,328,167936,1941188500,2558034214,39.82,6.39,2033081892,131.2
641,161448,2638306,15333,130027,0,0,1585753694,2021103629,39.9,6.39,1636412607,131.4
642,621956,3755979,225825,332728,0,0,1300477095,1703776303,40.07,6.65,1365592248,131.3
643,1119375,4791276,311463,485390,0,0,1473187833,1897342166,39.87,6.37,1498112253,131.2
644,169397,2813303,14137,158609,0,0,1616393852,2087304611,39.94,6.47,1669553827,131.4
645,219537,2684437,20021,176133,328,167936,1271410088,1633503144,39.52,5.5,1322206558,131.3
646,14798,768878,101,43076,0,0,139676937,151972954,39.99,6.32,179758150,131.3
647,1748050,7545699,357337,561277,0,0,1714649422,2339881853,39.97,6.44,1797202689,130.9
648,110939,1925848,11821,112344,0,0,1232327480,1616955893,39.95,6.41,1299854044,131.1
649,119998,2461148,12640,126055,0,0,1579372845,2014977127,39.93,6.27,1615193872,131.1
650,1764987,6733762,384962,821295,328,167936,1384919700,1724657536,40.13,6.7,1467999412,131.0
651,382659,2949367,20791,127233,0,0,1411338864,1855158628,39.95,6.41,1469190038,131.1
652,172658,2753834,14946,147278,0,0,1684151014,2190950515,39.66,5.98,1752957048,131.2
653,1115184,4713478,314809,407687,43128,22081536,909903699,1195989975,40.08,6.83,1003410656,131.1
654,614814,4073885,26782,210788,0,0,1441177388,1900669957,39.87,6.47,1469831785,131.0
655,290500,2991531,15397,137355,944,483328,1525696268,1947311563,39.89,6.38,1621550357,131.1
656,455341,3047863,39872,218319,0,0,1301352473,1680412119,40.13,6.8,1366427574,131.2
657,1499918,6021648,653708,769933,0,0,1488853470,1963290488,39.93,6.4,1510923464,131.1
658,139709,2487273,13803,134642,0,0,1630368387,2079784306,39.95,6.38,1638959533,131.3
659,123098,2277309,13769,166870,0,0,1443034722,1878260629,40.14,6.86,1529667627,131.3
660,1985209,7707381,611679,825171,328,167936,1521720497,2105648338,39.83,6.47,1640302217,131.2
661,176593,2797326,20195,118383,0,0,1659145956,2138665780,39.89,6.41,1728949410,131.4
662,141640,2424423,13621,148986,0,0,1575570255,2057719779,39.99,6.62,1622934496,131.4
663,1607427,6332165,556575,651411,0,0,1208649012,1593047205,39.95,6.5,1234029378,131.3
664,183609,2841224,18769,162675,112,57344,1678151358,2166532419,39.94,6.45,1740653160,131.4
665,299427,3342368,19761,146003,1448,741376,1637413601,2127396026,39.67,6.1,1732560068,131.3
666,1647536,6355834,346810,586916,0,0,1114785539,1650857686,40.22,7.09,1272292294,131.3
667,627906,3705147,97406,210784,0,0,1440063380,1851170548,39.83,6.41,1452205273,131.4
668,149627,2642633,14554,150672,0,0,1821946885,2373370493,37.2,6.42,1843824574,131.5
669,1315142,6424043,253356,481993,0,0,1523773201,1995987265,37.4,7.02,1597633504,131.4
670,812578,4575527,80469,216939,776,397312,1695597466,2309886408,40.09,6.75,1782752155,120.9
671,331269,3932215,28751,245010,0,0,2175502071,2843594503,31.07,5.97,2241696476,132.9
672,1190036,5179421,314778,436903,0,0,917216143,1180382322,39.52,7.0,1006815982,132.8
673,638357,3960035,177908,309508,0,0,1377852145,1813864279,39.96,6.5,1463810971,113.2
674,133722,2777620,14124,134159,0,0,1629448352,2128822351,39.94,6.45,1689965138,131.9
675,224661,2501574,11114,102722,888,454656,1082304771,1399133733,40.04,6.63,1163691432,131.7
676,1552198,7534878,531547,497313,0,0,1508567108,1960620459,39.89,6.53,1544612376,131.6
677,166835,2854537,19391,158600,0,0,1689360157,2150911320,39.81,6.5,1734775003,131.7
678,398126,3183632,15146,168545,0,0,1591886808,2021272163,39.89,6.36,1690825131,131.7
679,1192097,5903738,294970,272565,0,0,775538316,1088536852,40.07,6.8,939148929,131.6
680,591367,3258850,98879,241750,328,167936,1755741869,2255774098,39.89,6.43,1802242812,131.7
681,334089,3119251,23692,122936,0,0,1666462571,2142280151,39.91,6.37,1736001618,131.6
682,1429871,6698617,477319,772086,0,0,1654153447,2095568382,40.28,6.96,1686671416,131.6
683,331555,2583026,30371,125796,0,0,1327003602,1719688904,39.95,6.35,1377183184,131.6
684,118642,2410221,14497,175951,42336,21676032,1553247504,1990338730,39.97,6.46,1561811112,131.6
685,176920,2631170,22280,147643,944,483328,1197678805,1473963266,39.42,5.28,1220590031,131.5
686,547320,2673588,229312,64128,0,0,302961273,462874540,40.13,6.76,402056683,131.4
687,1206107,5761345,323212,540494,0,0,1477298598,1995198169,39.93,6.41,1544163848,131.2
688,134825,2702667,12103,137435,0,0,1582277942,2109501410,39.86,6.35,1646418844,131.3
689,104847,2586889,13540,130480,0,0,1434111551,1839698757,40.13,6.77,1497515434,131.3
690,1831438,7843187,456736,392994,328,167936,1331090239,1920175771,39.94,6.41,1523544038,131.2
691,156192,2765850,16515,145099,0,0,1672808685,2124344562,39.88,6.39,1706816541,131.4
692,125460,2530731,15832,126160,0,0,1590473869,2044255472,40.0,6.51,1633912262,131.3
693,1325543,5919062,457819,567382,0,0,1103023609,1450665336,40.04,6.68,1201221487,131.2
694,431266,3414501,63259,252888,224,114688,1733565705,2227979502,39.95,6.49,1786873556,131.4
695,305093,2821850,20761,163663,664,339968,1686670508,2218102315,39.91,6.35,1771056004,131.3
696,1164064,5290623,284176,547041,0,0,1320184197,1817281001,40.14,6.88,1464131605,131.3
697,665093,3332323,306084,477772,0,0,1381070336,1780315634,39.92,6.41,1418588007,131.3
698,132140,2324860,12373,128559,0,0,1608567445,2076403841,39.84,6.31,1621554035,131.4
699,109847,2320655,11335,124421,56,28672,1335445072,1636893628,40.05,6.77,1372829527,131.3
