,Unnamed: 0,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
314,314,9568186,30708902,918824,3826204,0,0,21474101048,46039261402,21577836662,118.75,14.72,185.3
315,315,8184166,25561836,766356,3270880,0,0,17453793238,37360995578,17557467946,118.9,14.8,185.2
316,316,10438968,31741898,993144,3369652,0,0,21659634704,46271213178,21783242772,118.73,14.79,185.3
317,317,8018054,25138776,732982,2558634,0,0,17395836534,37149942216,17453351286,118.77,14.78,185.2
318,318,9846016,30477286,976374,2981058,4472,2289664,21528677480,46383295068,21596269970,118.71,14.79,185.2
319,319,7966176,24303182,788286,2334474,0,0,17556171360,37583401488,17589875220,118.57,14.62,185.2
320,320,6064180,25234600,561326,2727322,0,0,20833968056,46279053464,20996487078,111.85,14.21,185.2
321,321,1379960,13340108,236518,1075162,0,0,14977523344,35570779938,15514258128,115.48,14.42,185.2
322,322,2505650,62865716,398472,2400970,0,0,16773613758,46115189034,16913954716,117.27,14.23,184.8
323,323,327982,53514196,64850,595786,1840,942080,13905871848,42353700952,13995900020,117.35,14.21,176.8
324,324,1105874,55071694,139096,783198,0,0,14227798678,42280462094,14274698066,117.16,14.24,183.5
325,325,981876,66203410,150264,868778,0,0,17475578074,52439548366,17537670238,117.73,14.3,183.4
326,326,1494488,44914598,194542,1411210,0,0,14557235010,42207853950,14753496692,117.91,14.31,183.3
327,327,1417688,55162894,180378,1289964,0,0,17879006406,52635598364,18003837514,117.65,14.21,183.3
328,328,1190792,45645200,159074,1041076,664,339968,14233125732,41814933740,14286433112,104.4,13.94,183.3
329,329,1672586,30411462,213984,1122446,0,0,9768819820,27002624906,10000677072,65.55,13.37,183.3
330,330,927430,5947900,199930,620170,0,0,2299701246,4177644970,2645179786,66.63,13.61,183.3
331,331,1723476,7334436,327238,968652,0,0,2985057124,4965250220,3264092082,65.15,13.3,142.5
332,332,1762012,8388262,236654,827320,0,0,2828849696,5255516824,3399154656,66.5,13.43,127.2
333,333,1112482,3741896,195296,538260,5480,2805760,2077009576,3971474522,2286734670,66.68,13.32,127.4
334,334,955788,7129242,200588,554626,0,0,2541460386,4807704792,2817103482,66.89,13.31,127.5
335,335,1044310,6555056,189012,460500,0,0,2193126242,3990054796,2519633058,67.38,13.52,127.5
336,336,1173934,7006140,204192,682150,0,0,2325873618,4005545580,2664185486,66.02,13.33,127.5
337,337,2507088,11031028,202664,1938618,0,0,3600510966,5355552108,3865864780,63.6,13.06,127.4
338,338,798444,5055832,87228,426612,128136,65605632,1865777040,3009289558,1945750106,63.77,13.08,127.4
339,339,1256360,6771984,109066,684136,0,0,2429364674,4183634538,2673156394,63.46,13.0,127.0
340,340,554982,5141850,95452,415934,0,0,1570766552,2863478288,1874183060,63.29,12.91,126.7
341,341,960134,6017254,163194,613610,0,0,2239976924,3890934550,2498689202,62.28,12.81,126.3
342,342,565298,2985282,73020,377290,0,0,1635948884,2821755464,1711057318,62.13,12.8,126.0
343,343,889730,5902154,111226,548512,496,253952,2293526008,3752674878,2406684696,63.02,12.89,125.8
344,344,352474,3351208,57184,225610,0,0,1478245384,2765911814,1600442606,62.73,12.85,125.5
345,345,682836,5086778,86834,540046,0,0,2025473868,3414631502,2154038442,63.48,13.0,125.3
346,346,973956,5349132,138754,500964,0,0,1999758770,3090606272,2108607194,63.35,13.01,124.9
347,347,933036,5551696,186212,481810,0,0,2202380360,3852287042,2447149212,62.81,12.79,124.7
348,348,633230,4774802,142608,427032,384,196608,1827716114,2972473950,1930620420,63.42,12.9,124.3
349,349,667462,4875796,141682,397672,56,28672,1703341624,2993968522,1940382850,62.93,12.83,124.2
350,350,583828,5401492,133322,377838,0,0,1865382910,3509018348,2185002798,64.63,12.96,124.0
351,351,923872,6213844,157502,490746,56,28672,2136756882,3584076200,2325396534,62.19,12.81,123.9
352,352,826438,5734750,156468,452776,0,0,2074641338,3510192432,2246224012,62.42,12.51,123.7
353,353,216814,1628536,47784,162872,384,196608,1116651800,2472176466,1353190422,63.59,12.82,123.7
354,354,707486,5811506,118348,398510,56,28672,1897369340,3536172992,2226286294,64.2,12.89,123.7
355,355,637390,5002064,94918,378432,0,0,1795859934,3138977832,1945434566,64.38,12.93,123.5
356,356,934236,6643812,161614,632224,0,0,2144872254,3669512006,2416362904,64.61,13.06,123.5
357,357,871188,5803999,116264,467424,0,0,1792105928,3034998500,2023312226,63.81,12.89,123.2
358,358,1040279,6842636,205622,666076,1672,856064,2623596569,4302916991,2815042439,64.95,12.99,123.1
359,359,688824,5495906,97480,353362,0,0,1837348910,3199899186,1953157002,63.24,12.81,123.2
360,360,730752,5628246,103550,468328,0,0,1923932730,3497885420,2193892028,64.33,13.05,123.2
361,361,870392,6125846,117256,572826,0,0,2121037670,3482838228,2232451428,62.73,12.99,123.2
362,362,270240,2096394,76540,212786,0,0,1442017320,2810998512,1535912424,61.8,12.76,123.1
363,363,743160,5174506,96124,584438,384,196608,2283858814,3823631562,2409595894,62.64,12.84,123.1
364,364,761752,5149700,116564,398390,0,0,1926625820,3174046488,2046806424,63.56,12.82,123.0
365,365,629850,5799422,106206,499310,0,0,2124740006,3567143148,2228036518,63.59,12.98,122.8
366,366,912854,5860632,117392,640332,0,0,2047589386,3209534514,2203344260,63.13,12.86,122.7
367,367,884140,5912450,132798,432330,0,0,2327620512,3993797756,2453103576,63.04,12.84,122.5
368,368,735292,4412938,115820,404052,384,196608,1856127442,2988121238,1978156044,62.74,13.02,122.2
369,369,905892,5270996,163858,438786,119912,61394944,2152515504,3608490278,2316601978,63.3,12.91,122.1
370,370,669332,4494442,124800,432830,0,0,1869208630,3075251002,1957980164,63.08,12.9,122.0
371,371,1030002,6362268,158506,556354,0,0,2209123510,3869380872,2586320640,63.4,13.05,122.0
372,372,613356,4455600,134266,341800,0,0,1840557528,3233824550,2061051440,61.54,12.78,121.9
373,373,398108,2440038,63532,215092,496,253952,1326580292,2652010346,1550802778,62.87,12.73,122.0
374,374,723278,5515382,140248,365742,0,0,1927292750,3632879312,2278988338,63.71,12.85,122.0
375,375,581458,4969386,121488,424928,0,0,1902994642,3214320802,2040022826,64.53,12.99,122.1
376,376,1071432,6765468,192332,471410,0,0,2281227416,3916282032,2486233178,63.98,12.79,122.0
377,377,586054,5336360,111852,408832,0,0,1798966692,3057537798,1944263566,64.17,12.89,122.0
378,378,796774,5451738,166534,464598,384,196608,2024214754,3627552818,2314903680,63.59,12.87,121.8
379,379,691080,5712692,138590,347986,0,0,1856720982,3165298990,1979807506,64.36,12.86,121.9
