,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
510,232124,3292646,12767,231441,728,372736,346921652,261340757,43.23,10.42,374873742,133.5
511,394525,5189725,9759,365511,0,0,554569338,390444027,43.16,10.36,598775900,140.6
512,253694,2365234,6537,150973,0,0,284700019,192920574,43.3,10.51,304615729,140.6
513,409526,6149973,12302,424093,0,0,651814520,453085728,42.78,9.93,689472873,140.5
514,181016,4853335,16925,319345,328,167936,505680882,353033014,42.94,10.12,528556091,140.5
515,296131,5266402,13105,314845,56,28672,515315898,391567708,43.26,10.44,563209371,140.4
516,268184,3989215,7244,261872,0,0,398970307,296773680,43.49,10.73,441860484,140.5
517,386429,3651285,8699,226330,0,0,422846705,326899700,43.1,10.28,454399573,140.5
518,270058,6080025,27227,395136,0,0,642779789,446678575,43.15,10.33,676661454,140.5
519,289443,4115117,6924,262323,440,225280,426799744,300881884,43.28,10.47,452956207,140.5
520,365329,4785440,10452,293070,224,114688,493207169,363744903,42.97,10.17,539374339,140.5
521,227779,3734506,10682,248498,0,0,405489767,289382553,42.62,9.6,435117578,140.4
522,189121,5327457,17089,369690,0,0,579545504,401413990,30.61,5.53,609861545,140.5
523,24205,5496053,572,385690,0,0,607769781,404563149,28.21,5.24,654439904,140.6
524,6667,3305301,540,220330,832,425984,359358721,247496794,28.66,5.15,391448768,140.5
525,107460,5576928,16635,358440,0,0,632413827,478297558,30.17,5.48,706976485,140.6
526,221924,6693282,5959,421473,168,86016,688729635,529638599,39.09,7.42,777296156,140.6
527,265761,3388875,8143,216785,42760,21893120,335115643,264838427,40.06,7.5,386747098,140.6
528,308618,6173537,24721,383048,0,0,642226593,490648148,42.75,9.94,688375474,140.3
529,172470,3977686,20819,244660,888,454656,401960979,287786834,43.19,10.34,428668114,112.9
530,663667,6308852,24857,387706,784,401408,678061114,507583921,42.88,10.03,747099387,107.4
531,309683,4316131,11246,239551,0,0,443790979,333918697,43.11,10.34,487135594,107.4
532,389385,5231430,46371,306089,0,0,531920772,439006158,43.0,10.21,595782250,107.8
533,313898,4077644,7687,275249,0,0,440488653,295245381,43.14,10.32,455368966,129.3
534,375644,5857920,21132,373126,224,114688,590837984,427313708,43.19,10.35,648539038,129.7
535,245575,4765303,9817,309978,48,24576,474333045,333879674,42.71,9.87,531506319,139.3
536,276985,3964254,8268,262422,0,0,431779584,308984250,43.35,10.61,452970095,139.4
537,354914,5090727,14908,314250,0,0,513906209,380349647,43.15,10.34,563173468,139.4
